asin,name,brand,price_usd,weight,rating,review_count,stock,url,scraped_at
B003SO4EK2,"Dandy Blend, Instant Herbal Beverage, 14 Ounce",Dandy Blend,230.61,N/A,4.7,15906,In Stock,https://www.amazon.com/Dandy-Blend-Beverage-Dandelion-14-1-ounce/dp/B003SO4EK2/ref=sr_1_94,2026-07-21 08:38:34
B004JPWY9W,Starbucks VIA Ready Brew Italian Roast Coffee 1.4oz 12 Single Serve Packets,N/A,115.22,N/A,4.6,5359,In Stock,https://www.amazon.com/Starbucks-Italian-Coffee-Single-Packets/dp/B004JPWY9W/ref=sr_1_95,2026-07-21 08:39:09
B00EPNPIUU,Juan Valdez Freeze Dried Coffee - Dulce de Leche Flavor |100% Colombian Arabica Beans | Sweet & Creamy 100% Colombian Coffee | Easy to Prepare | 95 gr / 3.35 oz,Juan Valdez,444.56,N/A,4.7,253,In Stock,https://www.amazon.com/Juan-Valdez-Cafe-Huila-Coffee/dp/B00EPNPIUU/ref=sr_1_96,2026-07-21 08:39:47
B0856Y5GJS,NESCAFE 3in1 Original instant coffee Pack of 24x18g / 0.63 oz,Nescafe,334.63,N/A,4.1,986,In Stock,https://www.amazon.com/Nescafe-Original-smooth-instant-coffee/dp/B0856Y5GJS/ref=sr_1_97,2026-07-21 08:40:13
B0DJTXDCGN,"Diamond Brew Espresso, 160mg Caffeine, Hot/Iced Instant, 12 Count, Arabica",DIAMOND BREW,485.94,N/A,4.6,59,In Stock,https://www.amazon.com/Luxury-Instant-Espresso-Caffeine-Double-Shot/dp/B0DJTXDCGN/ref=sr_1_98,2026-07-21 08:40:46
B09NYB7RBM,Trader Joe’s 10 Instant Coffee Packets Box 4.2oz 120g (Two Boxes),bobalife,329.51,N/A,4.7,74,In Stock,https://www.amazon.com/Trader-Instant-Coffee-Packets-4-2oz/dp/B09NYB7RBM/ref=sr_1_99,2026-07-21 08:41:08
B081S979GD,100% Colombian Coffee Instant Freeze Dried 1.76 oz Hazelnut-,Giraldo Farms,148.19,N/A,4.2,82,In Stock,https://www.amazon.com/Colombian-Coffee-Instant-Freeze-Hazelnut/dp/B081S979GD/ref=sr_1_102,2026-07-21 08:41:32
B003WAJP0G,"Beanies Flavour Instant Coffee - Irish Cream Instant Flavored Coffee - Bold & Adventurous Full-On Flavor - An Indulgent Sugar Free Taste Explosion - Low Calorie - Vegan & Gluten Free - Wheat & Dairy Free, 50g jar",Beanies The Flavour Co,148.19,N/A,4.3,1608,Out of Stock,https://www.amazon.com/Beanies-Instant-Coffee-Irish-Flavour/dp/B003WAJP0G/ref=sr_1_103,2026-07-21 08:42:02
B07BZRHJF1,"Nescafé Gold Original 200g/7oz, Original, 7 Ounce",Nescafe,555.68,N/A,4.5,364,In Stock,https://www.amazon.com/Nescaf%C3%A9-Gold-Original-200g-Ounce/dp/B07BZRHJF1/ref=sr_1_104,2026-07-21 08:42:32
B09WRV6QBW,"Folgers Black Silk Dark Roast Coffee, 9.6 Ounces (Pack of 6)",Folgers,607.75,N/A,4.8,9110,In Stock,https://www.amazon.com/Folgers-Black-Roast-Coffee-Ounces/dp/B09WRV6QBW/ref=sr_1_105,2026-07-21 08:43:05
